album_name,track_name,album_type,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist
ANGYAL,ANGYAL,single,30.0,0.86,0.7340000000000001,1,-7.96,0.0819,0.514,0.000152,0.1,0.483,124.035,Beatrick
ANNA,ANNA,single,78.0,0.68,0.6920000000000001,5,-6.9239999999999995,0.0471,0.0952,0.0302,0.155,0.45,89.96700000000001,RAF Camora
ANTI$$OCIAL,DIAMANTE,single,57.0,0.8290000000000001,0.6679999999999999,11,-6.007999999999999,0.0621,0.38799999999999996,0.0,0.0967,0.469,89.992,LON3R JOHNY
ANTI$$OCIAL,UH LA LA LA,single,61.0,0.855,0.551,0,-7.655,0.153,0.10400000000000001,0.192,0.382,0.547,119.979,LON3R JOHNY
ANTIFRAGILE,ANTIFRAGILE,single,87.0,0.882,0.797,10,-3.299,0.0819,0.0821,0.0,0.113,0.8240000000000001,105.025,LE SSERAFIM
ARRANCARMELO,ARRANCARMELO,single,80.0,0.654,0.354,5,-7.358,0.0738,0.7240000000000001,0.0,0.134,0.262,81.956,WOS
ASHER,Rumah Singgah,album,81.0,0.46,0.228,8,-10.665999999999999,0.0312,0.7190000000000001,0.0,0.107,0.358,78.115,Fabio Asher
ASL,Mrta7,album,52.0,0.59,0.467,10,-10.046,0.35200000000000004,0.433,0.000371,0.10400000000000001,0.441,84.889,Yvzid
ASPHALT 8,ASPHALT 8,single,67.0,0.904,0.8340000000000001,11,-4.927,0.162,0.373,1.04e-06,0.0857,0.731,124.00399999999999,MACAN
ASYLUM,"Yahyuppiyah (feat. Pcee, EeQue & Chley)",album,59.0,0.8079999999999999,0.244,1,-21.166999999999998,0.105,0.00448,0.00020099999999999998,0.0962,0.484,112.036,Uncle Waffles
AYE KUWA (feat. CK THE DJ),AYE KUWA (feat. CK THE DJ),single,56.0,0.87,0.7879999999999999,1,-5.483,0.0318,0.0571,0.007490000000000001,0.0401,0.5920000000000001,112.977,King Monada
Aaftaab,Aaftaab,single,38.0,0.6940000000000001,0.409,4,-8.111,0.031,0.845,0.0,0.113,0.45,112.99799999999999,Jawid Sharif
Aan,Aan,single,28.0,0.755,0.495,2,-7.822,0.35600000000000004,0.305,0.000298,0.0976,0.539,84.051,BClazic
Abala Ya Bali,Abala Ya Bali,single,56.0,0.763,0.7440000000000001,8,-8.116,0.0637,0.23199999999999998,0.0106,0.0907,0.54,129.953,Ayoub Anbaoui
Abcdario,Abcdario,single,86.0,0.703,0.429,8,-9.076,0.0308,0.7829999999999999,1.48e-06,0.113,0.41600000000000004,129.034,Eden Muñoz
