track.name,album_name,album_type,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist
"Agar Tum Saath Ho (From ""Tamasha"")",Love Forever With Arijit Singh,compilation,79.0,0.562,0.519,3,-8.744,0.0326,0.557,0.000268,0.172,0.415,122.925,Arijit Singh
Agudo Mágico 3,Agudo Mágico 3,single,78.0,0.649,0.797,6,-2.405,0.0504,0.221,0.0352,0.0728,0.49,129.966,MC K.K
Aha-Aha,Aha-Aha,single,54.0,0.859,0.672,0,-5.355,0.047,0.43,0.0449,0.0726,0.524,95.973,Bruno X Spacc
Ahlam,Ahlam,single,43.0,0.705,0.634,3,-10.062,0.185,0.754,0.149,0.183,0.39,91.987,Leil
Ahora Te Puedes Marchar,Soy Como Quiero Ser,album,83.0,0.78,0.877,6,-3.683,0.0427,0.148,2.36e-06,0.0627,0.909,133.263,Luis Miguel
Ai Coração,Ai Coração,single,50.0,0.664,0.626,6,-8.197,0.0515,0.31,5.32e-06,0.163,0.766,145.14,Mimicat
Ai Janam,Ai Janam,single,28.0,0.786,0.757,6,-5.602,0.0323,0.49,0.000713,0.186,0.779,114.005,Jawid Sharif
Ai fost (cu Mario Fresh),Ai fost (cu Mario Fresh),single,56.0,0.688,0.479,0,-6.687,0.136,0.326,0.000144,0.119,0.355,203.778,Alina Eremia
"Ai, jel manu vieglu prātu",Garastāvoklis,album,36.0,0.59,0.62,7,-10.647,0.0286,0.749,4.63e-05,0.25,0.764,107.057,Jauns Mēness
Aijā,Aijā,single,66.0,0.556,0.548,9,-7.513,0.0694,0.0523,0.00011,0.0781,0.398,160.071,Sudden Lights
Ainult Unustamiseks,Ainult Unustamiseks,single,44.0,0.596,0.795,2,-5.483,0.048,0.111,0.0,0.147,0.37,125.046,Púr Múdd
Air,Air,single,69.0,0.572,0.734,1,-5.801,0.0442,0.0495,0.0,0.0453,0.0867,119.9,Marcus & Martinus
"Ajab Si (From ""Om Shanti Om"")",Zindagi Do Pal Ki - K.K. All Time Hits,compilation,72.0,0.697,0.438,8,-8.411,0.0289,0.399,0.0,0.293,0.58,117.955,KK
Ajini,Ajini,single,60.0,0.776,0.625,2,-8.946,0.0845,0.236,2.13e-05,0.068,0.505,98.032,Mounim Slimani
Akhir Ay Yaar,Akhir Ay Yaar,single,32.0,0.69,0.702,1,-5.707,0.0653,0.159,0.0,0.0678,0.861,91.987,Sara Soroor
Al Aramızdan,Al Aramızdan,single,74.0,0.622,0.699,6,-8.539,0.0404,0.102,0.0,0.26,0.453,94.001,KÖFN
Ale jazz!,Ale jazz!,single,55.0,0.662,0.649,0,-5.647,0.0739,0.429,0.0273,0.117,0.931,206.042,sanah
Algo Que Se Quede,40,album,71.0,0.751,0.722,2,-4.197,0.0506,0.457,0.0,0.178,0.788,140.043,Grupo Niche
Alien,Alien,single,42.0,0.749,0.65,9,-6.951,0.114,0.0158,0.0,0.269,0.75,150.047,Sobel
